Date,Open,High,Low,Close
12/31/1990,"373.84","373.84","369.77","373.84"
12/28/1990,"371.20","371.31","369.35","371.20"
12/27/1990,"371.05","372.99","370.29","371.05"
12/26/1990,"372.40","373.35","371.62","372.40"
12/24/1990,"372.41","373.60","371.72","372.41"
12/21/1990,"372.40","373.79","371.54","372.40"
12/20/1990,"372.30","372.68","367.87","372.30"
12/19/1990,"371.22","371.74","370.14","371.22"
12/18/1990,"370.17","370.24","365.69","370.17"
12/17/1990,"365.72","368.82","364.46","365.72"
12/14/1990,"368.83","371.50","366.98","368.83"
12/13/1990,"371.50","371.80","370.05","371.50"
12/12/1990,"370.42","370.42","366.86","370.42"
12/11/1990,"367.99","371.51","367.73","367.99"
12/10/1990,"371.47","371.59","369.72","371.47"
12/07/1990,"371.54","372.35","369.02","371.54"
12/06/1990,"372.29","378.03","370.92","372.29"
12/05/1990,"370.87","370.97","364.02","370.87"
12/04/1990,"364.11","364.29","360.42","364.11"
12/03/1990,"361.32","362.28","359.05","361.32"
11/30/1990,"359.06","359.06","353.90","359.06"
11/29/1990,"355.75","355.76","352.99","355.75"
11/28/1990,"355.06","356.91","354.06","355.06"
11/27/1990,"354.05","354.20","348.87","354.05"
11/26/1990,"348.86","349.03","345.49","348.86"
11/23/1990,"349.04","349.73","348.45","349.04"
11/21/1990,"348.77","348.93","346.46","348.77"
11/20/1990,"348.29","353.63","347.97","348.29"
11/19/1990,"352.73","353.35","350.85","352.73"
11/16/1990,"350.85","354.46","349.03","350.85"
11/15/1990,"354.46","356.86","353.60","354.46"
11/14/1990,"356.87","356.96","352.05","356.87"
11/13/1990,"352.87","353.53","350.59","352.87"
11/12/1990,"351.46","351.55","341.94","351.46"
11/09/1990,"341.95","341.95","336.36","341.95"
11/08/1990,"336.37","338.36","335.36","336.37"
11/07/1990,"336.80","340.53","336.07","336.80"
11/06/1990,"340.53","342.79","340.17","340.53"
11/05/1990,"340.76","340.84","336.41","340.76"
11/02/1990,"336.45","336.66","330.62","336.45"
11/01/1990,"330.60","330.64","327.75","330.60"
10/31/1990,"329.84","331.50","328.89","329.84"
10/30/1990,"329.83","330.80","326.97","329.83"
10/29/1990,"330.80","335.42","330.34","330.80"
10/26/1990,"334.36","339.72","334.15","334.36"
10/25/1990,"339.74","342.27","338.38","339.74"
10/24/1990,"340.98","341.08","338.84","340.98"
10/23/1990,"341.09","342.60","339.99","341.09"
10/22/1990,"341.12","342.25","336.70","341.12"
10/19/1990,"337.36","338.87","334.04","337.36"
10/18/1990,"334.03","334.11","326.74","334.03"
10/17/1990,"326.78","328.11","324.09","326.78"
10/16/1990,"325.44","329.80","324.96","325.44"
10/15/1990,"329.54","330.18","325.84","329.54"
10/12/1990,"327.55","327.98","322.93","327.55"
10/11/1990,"325.61","334.06","324.25","325.61"
10/10/1990,"333.25","339.08","332.87","333.25"
10/09/1990,"339.11","348.17","338.55","339.11"
10/08/1990,"348.14","350.27","347.34","348.14"
10/05/1990,"347.36","349.81","343.08","347.36"
10/04/1990,"349.89","351.45","347.91","349.89"
10/03/1990,"351.45","356.38","351.12","351.45"
10/02/1990,"356.39","360.97","354.70","356.39"
10/01/1990,"354.65","354.77","344.52","354.65"
09/28/1990,"344.51","344.51","334.54","344.51"
09/27/1990,"341.19","352.61","340.27","341.19"
09/26/1990,"350.03","355.16","349.09","350.03"
09/25/1990,"354.78","354.79","351.54","354.78"
09/24/1990,"352.16","362.24","351.08","352.16"
09/21/1990,"362.54","364.44","360.27","362.54"
09/20/1990,"364.43","371.66","364.17","364.43"
09/19/1990,"371.68","373.76","371.51","371.68"
09/18/1990,"372.21","374.10","370.18","372.21"
09/17/1990,"374.11","374.78","372.67","374.11"
09/14/1990,"374.42","376.18","372.70","374.42"
09/13/1990,"376.18","381.66","375.79","376.18"
09/12/1990,"380.32","381.19","378.18","380.32"
09/11/1990,"379.49","381.74","378.11","379.49"
09/10/1990,"381.73","385.19","380.39","381.73"
09/07/1990,"380.38","380.57","376.53","380.38"
09/06/1990,"378.78","382.43","377.65","378.78"
09/05/1990,"382.44","383.21","381.15","382.44"
09/04/1990,"381.67","381.77","378.54","381.67"
08/31/1990,"381.21","381.34","377.22","381.21"
08/30/1990,"378.68","383.19","378.39","378.68"
08/29/1990,"381.78","383.48","380.41","381.78"
08/28/1990,"382.86","383.33","380.51","382.86"
08/27/1990,"381.27","382.22","367.35","381.27"
08/24/1990,"367.33","367.37","360.26","367.33"
08/23/1990,"360.22","374.73","359.67","360.22"
08/22/1990,"374.84","383.02","374.75","374.84"
08/21/1990,"379.68","388.55","375.74","379.68"
08/20/1990,"388.59","394.08","388.31","388.59"
