Date,Open,High,Low,Close,GDP,Unemployment Rate,Interest Rate,M2 Money Supply,Inflation
1990-01-02,459.33,459.34,453.84,459.33,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-03,460.9,461.72,459.31,460.9,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-04,459.39,461.02,456.9,459.39,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-05,458.22,459.47,457.72,458.22,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-08,458.71,458.75,456.49,458.71,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-09,456.77,459.73,456.64,456.77,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-10,450.7,456.75,450.5,450.7,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-11,448.86,452.51,448.83,448.86,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-12,439.72,448.78,439.24,439.72,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-15,436.64,439.74,436.37,436.64,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-16,440.16,440.22,432.06,440.16,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-17,438.68,442.56,438.48,438.68,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-18,437.52,438.8,435.49,437.52,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-19,440.88,441.25,437.52,440.88,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-22,431.94,440.9,431.66,431.94,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-23,430.42,433.85,428.86,430.42,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-24,425.66,430.25,419.73,425.66,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-25,425.24,429.1,425.05,425.24,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-26,421.33,425.92,419.45,421.33,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-29,418.11,422.96,416.41,418.11,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-30,410.72,418.1,409.98,410.72,5872.701,5.4,8.5,3166.8,4.905908309
1990-01-31,415.81,415.9,410.74,415.81,5872.701,5.4,8.5,3166.8,4.905908309
1990-02-01,417.76,417.91,415.79,417.76,5872.701,5.3,8.5,3179.2,4.91755923
