Fecha,Acción,Precio,Capital/Shares
2022-01-21,BUY,13768.92,0.7262733751085778
2022-01-24,SELL,13855.13,10062.612027668109
2022-01-25,BUY,13539.29,0.7432156359504899
2022-01-26,SELL,13542.12,10064.71532791785
2022-01-27,BUY,13352.78,0.7537542989488218
2022-01-28,SELL,13770.57,10379.626336475678
2022-02-02,BUY,14417.55,0.7199299698267513
2022-02-03,SELL,13878.82,9991.778463830911
2022-02-04,BUY,14098.01,0.7087367978765025
2022-02-07,SELL,14015.67,9933.421075893759
2022-02-08,BUY,14194.45,0.6998102128574026
2022-02-10,SELL,14185.64,9927.255747918485
2022-02-11,BUY,13791.15,0.7198279873628004
2022-02-18,SELL,13548.07,9752.279960750335
2022-02-23,BUY,13037.49,0.748018212152058
2022-02-25,SELL,13694.62,10243.825168501817
2022-03-02,BUY,13752.02,0.7448960348008378
2022-03-03,SELL,13537.94,10084.357825371653
2022-03-04,BUY,13313.44,0.7574569626912092
2022-03-10,SELL,13129.96,9945.379621857068
2022-03-15,BUY,12948.62,0.7680648302179743
2022-03-23,SELL,13922.6,10693.45940519277
2022-03-24,BUY,14191.84,0.7534935149489264
2022-03-29,SELL,14619.64,11015.803930887922
2022-03-31,BUY,14220.52,0.7746414287865648
2022-04-12,SELL,13371.57,10358.172089919566
2022-04-13,BUY,13643.59,0.7591969628169394
2022-04-20,SELL,13453.07,10213.529884563683
2022-04-21,BUY,13174.65,0.7752410792365401
2022-04-22,SELL,12839.29,9953.545036230917
2022-04-25,BUY,13004.85,0.7653717679351101
2022-04-26,SELL,12490.74,9560.059756617797
2022-04-27,BUY,12488.93,0.7654826920014602
2022-04-29,SELL,12334.64,9441.95343206889
2022-05-02,BUY,12536.02,0.7531858940930926
2022-05-03,SELL,12563.76,9462.846808771033
2022-05-04,BUY,12964.86,0.7298842261907211
2022-05-05,SELL,12317.69,8990.487634107185
2022-05-06,BUY,12144.66,0.7402831889988839
2022-05-10,SELL,11737.67,8689.19977901653
2022-05-26,BUY,11740.65,0.7400952910628057
